"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"BT1","Battery","Battery:BatteryHolder_Keystone_2462_2xAA","~","1","","",""
"H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_DIN965_Pad","~","18","","",""
"J1","USB_A","Connector_USB:USB_A_CNCTech_1001-011-01101_Horizontal","~","1","","",""
"K1,K2,K3,K4,K5,K6","Relay_SPDT","Relay_THT:Relay_SPDT_Finder_36.11","~","6","","",""
"LED1,LED2,LED3,LED4,LED5","LED","LED_THT:LED_D4.0mm","~","5","","",""
"P1","USB_C_Plug_USB2.0","Connector_USB:USB_C_Plug_Molex_105444","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","1","","",""
"PS1","RAC20-05SK","Converter_ACDC:Converter_ACDC_Recom_RAC20-xxSK_THT","https://recom-power.com/pdf/Powerline_AC-DC/RAC20-K.pdf","1","","",""
"R1,R2,R3,R4,R5","R","OptoDevice:R_LDR_4.9x4.2mm_P2.54mm_Vertical","~","5","","",""
"U1","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","1","","",""
"U2","MAX1811","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX1811.pdf","1","","",""
